t,x,y,z,yaw_vslam,yaw_vslam_int,yaw_imu,imu_age,yaw_fused,gz,yaw_gyro,imu_gated,marker
1787037472.032,0.0000,0.0000,0.0000,10.028,9.774,9.846,0.010,9.774,0.062,0.020,0,
1787037472.064,0.0000,0.0000,0.0000,10.030,9.775,9.846,0.043,9.775,0.062,0.020,0,
1787037472.098,0.0000,0.0000,0.0000,10.030,9.775,9.956,0.010,9.776,0.137,0.026,0,
1787037472.131,0.0000,0.0000,0.0000,10.030,9.775,9.956,0.043,9.776,0.137,0.026,0,
1787037472.164,0.0000,0.0000,0.0000,10.028,9.774,10.077,0.009,9.776,0.244,0.039,0,
1787037472.197,0.0000,0.0000,0.0000,10.027,9.772,10.077,0.042,9.775,0.244,0.039,0,
1787037472.230,0.0000,0.0000,0.0000,10.024,9.769,10.180,0.008,9.774,0.329,0.058,0,
1787037472.263,0.0000,0.0000,0.0000,10.021,9.766,10.180,0.041,9.771,0.329,0.058,0,
1787037472.296,0.0000,0.0000,0.0000,10.017,9.762,10.240,0.007,9.769,0.347,0.081,0,
1787037472.329,0.0000,0.0000,0.0000,10.012,9.758,10.240,0.040,9.766,0.347,0.081,0,
1787037472.362,0.0000,0.0000,0.0000,10.008,9.753,10.245,0.006,9.762,0.289,0.102,0,
1787037472.395,0.0000,0.0000,0.0000,10.003,9.748,10.245,0.040,9.759,0.289,0.102,0,
1787037472.428,0.0000,0.0000,0.0000,9.998,9.743,10.193,0.006,9.755,0.186,0.118,0,
1787037472.461,0.0000,0.0000,0.0000,9.993,9.738,10.193,0.039,9.751,0.186,0.118,0,
1787037472.494,0.0000,0.0000,0.0000,9.988,9.734,10.096,0.005,9.748,0.089,0.127,0,
1787037472.527,0.0000,0.0000,0.0000,9.984,9.729,10.096,0.039,9.744,0.089,0.127,0,
1787037472.560,0.0000,0.0000,0.0000,9.980,9.725,9.976,0.004,9.741,0.050,0.132,0,
1787037472.593,0.0000,0.0000,0.0000,9.977,9.722,9.976,0.037,9.738,0.050,0.132,0,
1787037472.626,0.0000,0.0000,0.0000,9.974,9.719,9.862,0.004,9.736,0.088,0.136,0,
1787037472.659,0.0000,0.0000,0.0000,9.972,9.717,9.862,0.036,9.734,0.088,0.136,0,
1787037472.692,0.0000,0.0000,0.0000,9.970,9.716,9.781,0.003,9.733,0.184,0.145,0,
1787037472.725,0.0000,0.0000,0.0000,9.970,9.715,9.781,0.036,9.733,0.184,0.145,0,
1787037472.758,0.0000,0.0000,0.0000,9.970,9.716,9.750,0.002,9.733,0.288,0.161,0,
1787037472.791,0.0000,0.0000,0.0000,9.971,9.717,9.750,0.035,9.734,0.288,0.161,0,
1787037472.824,0.0000,0.0000,0.0000,9.973,9.719,9.778,0.001,9.736,0.347,0.182,0,
1787037472.857,0.0000,0.0000,0.0000,9.976,9.721,9.778,0.034,9.739,0.347,0.182,0,
1787037472.890,0.0000,0.0000,0.0000,9.979,9.725,9.778,0.067,9.742,0.347,0.182,0,
1787037472.923,0.0000,0.0000,0.0000,9.983,9.729,9.857,0.032,9.746,0.330,0.205,0,
1787037472.956,0.0000,0.0000,0.0000,9.987,9.733,9.857,0.065,9.751,0.330,0.205,0,
1787037472.989,0.0000,0.0000,0.0000,9.992,9.737,9.970,0.032,9.756,0.246,0.224,0,
1787037473.022,0.0000,0.0000,0.0000,9.997,9.742,9.970,0.065,9.762,0.246,0.224,0,
1787037473.055,0.0000,0.0000,0.0000,10.002,9.747,10.091,0.031,9.768,0.137,0.237,0,
1787037473.088,0.0000,0.0000,0.0000,10.007,9.752,10.091,0.064,9.773,0.137,0.237,0,
1787037473.121,0.0000,0.0000,0.0000,10.011,9.757,10.189,0.030,9.779,0.062,0.244,0,
1787037473.154,0.0000,0.0000,0.0000,10.016,9.761,10.189,0.063,9.785,0.062,0.244,0,
1787037473.187,0.0000,0.0000,0.0000,10.020,9.765,10.243,0.030,9.790,0.058,0.248,0,
1787037473.220,0.0000,0.0000,0.0000,10.023,9.769,10.243,0.063,9.795,0.058,0.248,0,
1787037473.253,0.0000,0.0000,0.0000,10.026,9.772,10.242,0.029,9.799,0.126,0.254,0,
1787037473.286,0.0000,0.0000,0.0000,10.028,9.774,10.242,0.062,9.802,0.126,0.254,0,
1787037473.318,0.0000,0.0000,0.0000,10.029,9.775,10.184,0.028,9.804,0.233,0.266,0,
1787037473.351,0.0000,0.0000,0.0000,10.030,9.775,10.184,0.061,9.806,0.233,0.266,0,
1787037473.384,0.0000,0.0000,0.0000,10.030,9.775,10.083,0.028,9.806,0.322,0.284,0,
1787037473.417,0.0000,0.0000,0.0000,10.029,9.774,10.083,0.061,9.806,0.322,0.284,0,
1787037473.451,0.0000,0.0000,0.0000,10.027,9.772,9.963,0.027,9.804,0.349,0.307,0,
1787037473.483,0.0000,0.0000,0.0000,10.024,9.770,9.963,0.060,9.802,0.349,0.307,0,
1787037473.516,0.0000,0.0000,0.0000,10.021,9.766,9.851,0.026,9.799,0.299,0.328,0,
1787037473.550,0.0000,0.0000,0.0000,10.017,9.763,9.851,0.059,9.796,0.299,0.328,0,
1787037473.583,0.0000,0.0000,0.0000,10.013,9.758,9.774,0.025,9.791,0.198,0.345,0,
1787037473.615,0.0000,0.0000,0.0000,10.008,9.754,9.774,0.058,9.787,0.198,0.345,0,
1787037473.649,0.0000,0.0000,0.0000,10.003,9.749,9.750,0.024,9.782,0.098,0.355,0,
1787037473.682,0.0000,0.0000,0.0000,9.998,9.744,9.750,0.058,9.777,0.098,0.355,0,
1787037473.715,0.0000,0.0000,0.0000,9.993,9.739,9.784,0.024,9.772,0.051,0.360,0,
1787037473.748,0.0000,0.0000,0.0000,9.989,9.734,9.784,0.057,9.767,0.051,0.360,0,
1787037473.781,0.0000,0.0000,0.0000,9.984,9.730,9.869,0.023,9.763,0.081,0.364,0,
1787037473.814,0.0000,0.0000,0.0000,9.980,9.726,9.869,0.056,9.759,0.081,0.364,0,
1787037473.847,0.0000,0.0000,0.0000,9.977,9.722,9.983,0.022,9.756,0.172,0.373,0,
1787037473.879,0.0000,0.0000,0.0000,9.974,9.720,9.983,0.055,9.754,0.172,0.373,0,
1787037473.912,0.0000,0.0000,0.0000,9.972,9.717,10.102,0.021,9.753,0.278,0.388,0,
1787037473.945,0.0000,0.0000,0.0000,9.971,9.716,10.102,0.054,9.753,0.278,0.388,0,
1787037473.978,0.0000,0.0000,0.0000,9.970,9.715,10.197,0.020,9.753,0.344,0.408,0,
1787037474.011,0.0000,0.0000,0.0000,9.970,9.716,10.197,0.053,9.755,0.344,0.408,0,
1787037474.044,0.0000,0.0000,0.0000,9.971,9.717,10.246,0.020,9.757,0.335,0.431,0,
1787037474.077,0.0000,0.0000,0.0000,9.973,9.719,10.246,0.053,9.760,0.335,0.431,0,
1787037474.110,0.0000,0.0000,0.0000,9.976,9.721,10.238,0.019,9.764,0.257,0.451,0,
1787037474.143,0.0000,0.0000,0.0000,9.979,9.724,10.238,0.051,9.769,0.257,0.451,0,
1787037474.176,0.0000,0.0000,0.0000,9.983,9.728,10.174,0.018,9.774,0.149,0.465,0,
1787037474.209,0.0000,0.0000,0.0000,9.987,9.732,10.174,0.051,9.779,0.149,0.465,0,
1787037474.242,0.0000,0.0000,0.0000,9.992,9.737,10.070,0.017,9.784,0.068,0.472,0,
1787037474.275,0.0000,0.0000,0.0000,9.996,9.742,10.070,0.050,9.790,0.068,0.472,0,
1787037474.309,0.0000,0.0000,0.0000,10.001,9.747,9.950,0.017,9.795,0.054,0.476,0,
1787037474.341,0.0000,0.0000,0.0000,10.006,9.752,9.950,0.050,9.801,0.054,0.476,0,
1787037474.374,0.0000,0.0000,0.0000,10.011,9.756,9.841,0.016,9.805,0.116,0.482,0,
1787037474.407,0.0000,0.0000,0.0000,10.015,9.761,9.841,0.049,9.810,0.116,0.482,0,
1787037474.440,0.0000,0.0000,0.0000,10.019,9.765,9.769,0.015,9.814,0.221,0.493,0,
1787037474.473,0.0000,0.0000,0.0000,10.023,9.768,9.769,0.048,9.817,0.221,0.493,0,
1787037474.506,0.0000,0.0000,0.0000,10.026,9.771,9.751,0.014,9.820,0.315,0.511,0,
1787037474.540,0.0000,0.0000,0.0000,10.028,9.773,9.751,0.048,9.822,0.315,0.511,0,
1787037474.573,0.0000,0.0000,0.0000,10.029,9.775,9.791,0.014,9.823,0.350,0.533,0,
1787037474.606,0.0000,0.0000,0.0000,10.030,9.775,9.791,0.047,9.824,0.350,0.533,0,
1787037474.639,0.0000,0.0000,0.0000,10.030,9.775,9.880,0.013,9.824,0.307,0.555,0,
1787037474.672,0.0000,0.0000,0.0000,10.029,9.774,9.880,0.046,9.823,0.307,0.555,0,
1787037474.705,0.0000,0.0000,0.0000,10.027,9.772,9.997,0.012,9.821,0.209,0.572,0,
1787037474.738,0.0000,0.0000,0.0000,10.024,9.770,9.997,0.045,9.819,0.209,0.572,0,
1787037474.771,0.0000,0.0000,0.0000,10.021,9.767,10.114,0.011,9.817,0.107,0.583,0,
1787037474.804,0.0000,0.0000,0.0000,10.017,9.763,10.114,0.044,9.814,0.107,0.583,0,
1787037474.837,0.0000,0.0000,0.0000,10.013,9.759,10.205,0.010,9.811,0.052,0.588,0,
1787037474.869,0.0000,0.0000,0.0000,10.009,9.754,10.205,0.043,9.807,0.052,0.588,0,
1787037474.903,0.0000,0.0000,0.0000,10.004,9.749,10.248,0.009,9.804,0.074,0.592,0,
1787037474.935,0.0000,0.0000,0.0000,9.999,9.744,10.248,0.042,9.800,0.074,0.592,0,
1787037474.968,0.0000,0.0000,0.0000,9.994,9.739,10.233,0.009,9.796,0.161,0.600,0,
1787037475.001,0.0000,0.0000,0.0000,9.989,9.735,10.233,0.042,9.793,0.161,0.600,0,
1787037475.034,0.0000,0.0000,0.0000,9.985,9.730,10.164,0.008,9.789,0.268,0.614,0,
1787037475.067,0.0000,0.0000,0.0000,9.981,9.726,10.164,0.041,9.786,0.268,0.614,0,
1787037475.100,0.0000,0.0000,0.0000,9.977,9.723,10.057,0.007,9.784,0.340,0.635,0,
1787037475.133,0.0000,0.0000,0.0000,9.974,9.720,10.057,0.040,9.782,0.340,0.635,0,
1787037475.166,0.0000,0.0000,0.0000,9.972,9.718,9.936,0.006,9.780,0.340,0.657,0,
1787037475.199,0.0000,0.0000,0.0000,9.971,9.716,9.936,0.039,9.779,0.340,0.657,0,
1787037475.232,0.0000,0.0000,0.0000,9.970,9.715,9.830,0.006,9.778,0.268,0.678,0,
1787037475.265,0.0000,0.0000,0.0000,9.970,9.716,9.830,0.039,9.779,0.268,0.678,0,
1787037475.298,0.0000,0.0000,0.0000,9.971,9.717,9.764,0.005,9.780,0.160,0.692,0,
1787037475.331,0.0000,0.0000,0.0000,9.973,9.718,9.764,0.038,9.781,0.160,0.692,0,
1787037475.364,0.0000,0.0000,0.0000,9.975,9.721,9.753,0.004,9.784,0.074,0.700,0,
1787037475.397,0.0000,0.0000,0.0000,9.979,9.724,9.753,0.037,9.787,0.074,0.700,0,
1787037475.430,0.0000,0.0000,0.0000,9.982,9.728,9.799,0.003,9.791,0.052,0.704,0,
1787037475.463,0.0000,0.0000,0.0000,9.987,9.732,9.799,0.036,9.795,0.052,0.704,0,
1787037475.496,0.0000,0.0000,0.0000,9.991,9.737,9.892,0.002,9.800,0.107,0.709,0,
1787037475.529,0.0000,0.0000,0.0000,9.996,9.742,9.892,0.035,9.805,0.107,0.709,0,
1787037475.562,0.0000,0.0000,0.0000,10.001,9.746,10.010,0.002,9.810,0.209,0.720,0,
1787037475.595,0.0000,0.0000,0.0000,10.006,9.751,10.010,0.035,9.816,0.209,0.720,0,
1787037475.628,0.0000,0.0000,0.0000,10.011,9.756,10.126,0.001,9.821,0.307,0.737,0,
1787037475.661,0.0000,0.0000,0.0000,10.015,9.761,10.126,0.034,9.826,0.307,0.737,0,
1787037475.694,0.0000,0.0000,0.0000,10.019,9.765,10.126,0.067,9.831,0.307,0.737,0,
1787037475.727,0.0000,0.0000,0.0000,10.023,9.768,10.213,0.032,9.836,0.350,0.759,0,
1787037475.760,0.0000,0.0000,0.0000,10.026,9.771,10.213,0.065,9.840,0.350,0.759,0,
1787037475.793,0.0000,0.0000,0.0000,10.028,9.773,10.249,0.032,9.843,0.315,0.781,0,
1787037475.826,0.0000,0.0000,0.0000,10.029,9.775,10.249,0.065,9.846,0.315,0.781,0,
1787037475.859,0.0000,0.0000,0.0000,10.030,9.775,10.227,0.030,9.848,0.219,0.799,0,
1787037475.892,0.0000,0.0000,0.0000,10.030,9.775,10.227,0.063,9.848,0.219,0.799,0,
1787037475.925,0.0000,0.0000,0.0000,10.029,9.774,10.153,0.030,9.848,0.116,0.810,0,
1787037475.958,0.0000,0.0000,0.0000,10.027,9.773,10.153,0.063,9.847,0.116,0.810,0,
1787037475.991,0.0000,0.0000,0.0000,10.025,9.770,10.043,0.029,9.845,0.054,0.816,0,
1787037476.024,0.0000,0.0000,0.0000,10.022,9.767,10.043,0.062,9.843,0.054,0.816,0,
1787037476.057,0.0000,0.0000,0.0000,10.018,9.763,9.922,0.028,9.839,0.068,0.820,0,
1787037476.090,0.0000,0.0000,0.0000,10.014,9.759,9.922,0.061,9.835,0.068,0.820,0,
1787037476.123,0.0000,0.0000,0.0000,10.009,9.754,9.820,0.028,9.831,0.150,0.827,0,
1787037476.156,0.0000,0.0000,0.0000,10.004,9.750,9.820,0.061,9.826,0.150,0.827,0,
1787037476.189,0.0000,0.0000,0.0000,9.999,9.745,9.760,0.027,9.821,0.258,0.841,0,
1787037476.222,0.0000,0.0000,0.0000,9.994,9.740,9.760,0.060,9.816,0.258,0.841,0,
1787037476.255,0.0000,0.0000,0.0000,9.990,9.735,9.755,0.026,9.811,0.336,0.861,0,
1787037476.288,0.0000,0.0000,0.0000,9.985,9.731,9.755,0.059,9.806,0.336,0.861,0,
1787037476.321,0.0000,0.0000,0.0000,9.981,9.726,9.808,0.026,9.802,0.344,0.884,0,
1787037476.354,0.0000,0.0000,0.0000,9.977,9.723,9.808,0.058,9.799,0.344,0.884,0,
1787037476.387,0.0000,0.0000,0.0000,9.975,9.720,9.905,0.024,9.796,0.277,0.904,0,
1787037476.420,0.0000,0.0000,0.0000,9.972,9.718,9.905,0.057,9.794,0.277,0.904,0,
1787037476.453,0.0000,0.0000,0.0000,9.971,9.716,10.025,0.024,9.793,0.171,0.919,0,
1787037476.486,0.0000,0.0000,0.0000,9.970,9.716,10.025,0.056,9.793,0.171,0.919,0,
1787037476.519,0.0000,0.0000,0.0000,9.970,9.716,10.138,0.023,9.794,0.080,0.928,0,
1787037476.552,0.0000,0.0000,0.0000,9.971,9.717,10.138,0.056,9.796,0.080,0.928,0,
1787037476.585,0.0000,0.0000,0.0000,9.973,9.718,10.220,0.022,9.799,0.051,0.932,0,
1787037476.618,0.0000,0.0000,0.0000,9.975,9.721,10.220,0.055,9.802,0.051,0.932,0,
1787037476.651,0.0000,0.0000,0.0000,9.978,9.724,10.250,0.021,9.807,0.098,0.937,0,
1787037476.684,0.0000,0.0000,0.0000,9.982,9.727,10.250,0.054,9.812,0.098,0.937,0,
1787037476.717,0.0000,0.0000,0.0000,9.986,9.732,10.222,0.020,9.817,0.198,0.947,0,
1787037476.750,0.0000,0.0000,0.0000,9.991,9.736,10.222,0.053,9.823,0.198,0.947,0,
1787037476.783,0.0000,0.0000,0.0000,9.996,9.741,10.142,0.020,9.828,0.299,0.963,0,
1787037476.816,0.0000,0.0000,0.0000,10.001,9.746,10.142,0.053,9.834,0.299,0.963,0,
1787037476.849,0.0000,0.0000,0.0000,10.005,9.751,10.029,0.019,9.840,0.349,0.985,0,
1787037476.882,0.0000,0.0000,0.0000,10.010,9.756,10.029,0.052,9.845,0.349,0.985,0,
1787037476.915,0.0000,0.0000,0.0000,10.015,9.760,9.910,0.018,9.850,0.322,1.008,0,
1787037476.948,0.0000,0.0000,0.0000,10.019,9.764,9.910,0.051,9.854,0.322,1.008,0,
1787037476.981,0.0000,0.0000,0.0000,10.022,9.768,9.811,0.017,9.857,0.232,1.026,0,
1787037477.014,0.0000,0.0000,0.0000,10.025,9.771,9.811,0.050,9.860,0.232,1.026,0,
1787037477.047,0.0000,0.0000,0.0000,10.028,9.773,9.756,0.016,9.862,0.125,1.038,0,
1787037477.080,0.0000,0.0000,0.0000,10.029,9.775,9.756,0.049,9.863,0.125,1.038,0,
1787037477.112,0.0000,0.0000,0.0000,10.030,9.775,9.759,0.015,9.864,0.057,1.044,0,
1787037477.146,0.0000,0.0000,0.0000,10.030,9.775,9.759,0.048,9.863,0.057,1.044,0,
1787037477.178,0.0000,0.0000,0.0000,10.029,9.774,9.817,0.014,9.862,0.063,1.048,0,
1787037477.211,0.0000,0.0000,0.0000,10.027,9.773,9.817,0.048,9.861,0.063,1.048,0,
1787037477.245,0.0000,0.0000,0.0000,10.025,9.770,9.918,0.014,9.858,0.139,1.055,0,
1787037477.278,0.0000,0.0000,0.0000,10.022,9.767,9.918,0.047,9.855,0.139,1.055,0,
1787037477.311,0.0000,0.0000,0.0000,10.018,9.764,10.038,0.013,9.852,0.247,1.068,0,
1787037477.344,0.0000,0.0000,0.0000,10.014,9.759,10.038,0.046,9.849,0.247,1.068,0,
1787037477.377,0.0000,0.0000,0.0000,10.009,9.755,10.149,0.013,9.845,0.330,1.087,0,
1787037477.410,0.0000,0.0000,0.0000,10.005,9.750,10.149,0.046,9.841,0.330,1.087,0,
1787037477.443,0.0000,0.0000,0.0000,10.000,9.745,10.226,0.012,9.837,0.347,1.110,0,
1787037477.476,0.0000,0.0000,0.0000,9.995,9.740,10.226,0.045,9.833,0.347,1.110,0,
1787037477.509,0.0000,0.0000,0.0000,9.990,9.735,10.250,0.011,9.830,0.287,1.131,0,
1787037477.542,0.0000,0.0000,0.0000,9.985,9.731,10.250,0.044,9.826,0.287,1.131,0,
1787037477.575,0.0000,0.0000,0.0000,9.981,9.727,10.215,0.010,9.823,0.183,1.146,0,
1787037477.608,0.0000,0.0000,0.0000,9.978,9.723,10.215,0.044,9.821,0.183,1.146,0,
1787037477.641,0.0000,0.0000,0.0000,9.975,9.720,10.131,0.010,9.819,0.088,1.155,0,
1787037477.674,0.0000,0.0000,0.0000,9.972,9.718,10.131,0.043,9.817,0.088,1.155,0,
1787037477.707,0.0000,0.0000,0.0000,9.971,9.716,10.015,0.008,9.816,0.050,1.160,0,
1787037477.740,0.0000,0.0000,0.0000,9.970,9.716,10.015,0.041,9.816,0.050,1.160,0,
1787037477.773,0.0000,0.0000,0.0000,9.970,9.716,9.897,0.007,9.816,0.090,1.165,0,
1787037477.806,0.0000,0.0000,0.0000,9.971,9.716,9.897,0.040,9.817,0.090,1.165,0,
1787037477.838,0.0000,0.0000,0.0000,9.973,9.718,9.802,0.007,9.819,0.187,1.174,0,
1787037477.871,0.0000,0.0000,0.0000,9.975,9.720,9.802,0.040,9.821,0.187,1.174,0,
1787037477.904,0.0000,0.0000,0.0000,9.978,9.723,9.754,0.006,9.824,0.290,1.190,0,
1787037477.937,0.0000,0.0000,0.0000,9.982,9.727,9.754,0.039,9.827,0.290,1.190,0,
1787037477.970,0.0000,0.0000,0.0000,9.986,9.731,9.763,0.005,9.831,0.347,1.211,0,
1787037478.003,0.0000,0.0000,0.0000,9.990,9.736,9.763,0.038,9.836,0.347,1.211,0,
1787037478.036,0.0000,0.0000,0.0000,9.995,9.741,9.827,0.004,9.840,0.328,1.234,0,
1787037478.069,0.0000,0.0000,0.0000,10.000,9.746,9.827,0.037,9.845,0.328,1.234,0,
1787037478.102,0.0000,0.0000,0.0000,10.005,9.750,9.931,0.003,9.850,0.243,1.253,0,
1787037478.135,0.0000,0.0000,0.0000,10.010,9.755,9.931,0.036,9.855,0.243,1.253,0,
1787037478.168,0.0000,0.0000,0.0000,10.014,9.760,10.052,0.003,9.861,0.136,1.265,0,
1787037478.201,0.0000,0.0000,0.0000,10.018,9.764,10.052,0.036,9.865,0.136,1.265,0,
1787037478.234,0.0000,0.0000,0.0000,10.022,9.768,10.160,0.002,9.870,0.061,1.272,0,
1787037478.267,0.0000,0.0000,0.0000,10.025,9.771,10.160,0.035,9.873,0.061,1.272,0,
1787037478.300,0.0000,0.0000,0.0000,10.027,9.773,10.232,0.001,9.877,0.059,1.276,0,
1787037478.333,0.0000,0.0000,0.0000,10.029,9.775,10.232,0.034,9.879,0.059,1.276,0,
1787037478.366,0.0000,0.0000,0.0000,10.030,9.775,10.232,0.067,9.881,0.059,1.276,0,
1787037478.399,0.0000,0.0000,0.0000,10.030,9.775,10.249,0.032,9.882,0.129,1.283,0,
1787037478.432,0.0000,0.0000,0.0000,10.029,9.775,10.249,0.065,9.882,0.129,1.283,0,
1787037478.465,0.0000,0.0000,0.0000,10.027,9.773,10.208,0.032,9.882,0.236,1.294,0,
1787037478.499,0.0000,0.0000,0.0000,10.025,9.771,10.208,0.066,9.880,0.236,1.294,0,
1787037478.531,0.0000,0.0000,0.0000,10.022,9.768,10.117,0.031,9.878,0.325,1.313,0,
1787037478.564,0.0000,0.0000,0.0000,10.019,9.764,10.117,0.063,9.875,0.325,1.313,0,
1787037478.597,0.0000,0.0000,0.0000,10.014,9.760,10.001,0.030,9.871,0.348,1.336,0,
1787037478.630,0.0000,0.0000,0.0000,10.010,9.755,10.001,0.063,9.867,0.348,1.336,0,
1787037478.663,0.0000,0.0000,0.0000,10.005,9.751,9.884,0.030,9.862,0.296,1.357,0,
1787037478.696,0.0000,0.0000,0.0000,10.000,9.746,9.884,0.063,9.857,0.296,1.357,0,
1787037478.729,0.0000,0.0000,0.0000,9.995,9.741,9.794,0.029,9.852,0.194,1.374,0,
1787037478.762,0.0000,0.0000,0.0000,9.990,9.736,9.794,0.062,9.847,0.194,1.374,0,
1787037478.795,0.0000,0.0000,0.0000,9.986,9.731,9.752,0.028,9.843,0.095,1.383,0,
1787037478.828,0.0000,0.0000,0.0000,9.982,9.727,9.752,0.061,9.838,0.095,1.383,0,
1787037478.861,0.0000,0.0000,0.0000,9.978,9.724,9.767,0.028,9.834,0.050,1.388,0,
1787037478.894,0.0000,0.0000,0.0000,9.975,9.720,9.767,0.061,9.831,0.050,1.388,0,
1787037478.927,0.0000,0.0000,0.0000,9.973,9.718,9.837,0.027,9.829,0.083,1.392,0,
1787037478.960,0.0000,0.0000,0.0000,9.971,9.716,9.837,0.060,9.827,0.083,1.392,0,
1787037478.994,0.0000,0.0000,0.0000,9.970,9.716,9.945,0.026,9.827,0.176,1.401,0,
1787037479.027,0.0000,0.0000,0.0000,9.970,9.716,9.945,0.059,9.827,0.176,1.401,0,
1787037479.060,0.0000,0.0000,0.0000,9.971,9.716,10.066,0.025,9.828,0.281,1.416,0,
1787037479.092,0.0000,0.0000,0.0000,9.972,9.718,10.066,0.058,9.831,0.281,1.416,0,
1787037479.125,0.0000,0.0000,0.0000,9.975,9.720,10.171,0.025,9.834,0.345,1.437,0,
1787037479.158,0.0000,0.0000,0.0000,9.978,9.723,10.171,0.058,9.838,0.345,1.437,0,
1787037479.191,0.0000,0.0000,0.0000,9.981,9.727,10.236,0.024,9.842,0.334,1.460,0,
1787037479.224,0.0000,0.0000,0.0000,9.985,9.731,10.236,0.057,9.847,0.334,1.460,0,
1787037479.257,0.0000,0.0000,0.0000,9.990,9.735,10.247,0.023,9.853,0.254,1.479,0,
1787037479.290,0.0000,0.0000,0.0000,9.995,9.740,10.247,0.056,9.859,0.254,1.479,0,
1787037479.323,0.0000,0.0000,0.0000,10.000,9.745,10.200,0.022,9.865,0.146,1.493,0,
1787037479.356,0.0000,0.0000,0.0000,10.005,9.750,10.200,0.055,9.871,0.146,1.493,0,
1787037479.389,0.0000,0.0000,0.0000,10.009,9.755,10.107,0.021,9.876,0.066,1.500,0,
1787037479.422,0.0000,0.0000,0.0000,10.014,9.759,10.107,0.054,9.881,0.066,1.500,0,
1787037479.455,0.0000,0.0000,0.0000,10.018,9.764,9.988,0.020,9.886,0.055,1.504,0,
1787037479.488,0.0000,0.0000,0.0000,10.022,9.767,9.988,0.053,9.890,0.055,1.504,0,
1787037479.521,0.0000,0.0000,0.0000,10.025,9.770,9.872,0.020,9.893,0.119,1.510,0,
1787037479.554,0.0000,0.0000,0.0000,10.027,9.773,9.872,0.053,9.895,0.119,1.510,0,
